[losat-thread-pool] program=blastn requested_threads=8 pool_threads=8 caller_participates=false measured_activity=null
[losat-thread-stage] program=blastn stage=subjects work_items=1 parallel_selected=false measured_activity=null
[losat-thread-stage] program=blastn stage=subject_chunks work_items=1 parallel_selected=false measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=12 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=14 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=12 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=8 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=7 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=6 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=9 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=7 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=5 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=13 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=5 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=8 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=5 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=7 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=10 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=13 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=8 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=8 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=12 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=14 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=13 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=13 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=14 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=15 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=14 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=15 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=15 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=15 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=14 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=15 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=15 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=15 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=13 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=11 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=15 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=11 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=15 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
[losat-thread-stage] program=blastn stage=dp_traceback work_items=16 parallel_selected=true measured_activity=null
