mode	case_id	threads	median_seconds	min_seconds	max_seconds	process_lifetime_peak_rss_bytes	median_worker_startup_seconds	median_invocation_including_io_and_api_copy_seconds	median_host_exit_wait_seconds	raw_output_sha256
threaded-reactor-same-instance	dense-biased	4	0.3637451700000001	0.26370454900000007	0.4782760159999998	231047168	0.07974318350000022	0.3602041429999999	0.0037251549999996313	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
threaded-reactor-same-instance	long-single	1	0.021096201000000293	0.020052656000000297	0.021897617000000535	231047168		0.021045195999999124	5.5472999998528394e-05	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
threaded-reactor-same-instance	long-single	2	0.17306491499999993	0.15361008899999978	0.20387873099999887	231047168	0.06966015449999963	0.17048707099999955	0.0025739830000002257	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
threaded-reactor-same-instance	long-single	4	0.33445548099999994	0.2962682989999994	0.413312891	231047168	0.07340336050000042	0.33115362800000003	0.003914477000000261	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
threaded-reactor-same-instance	multi-subject	1	0.008418642000000545	0.007879608999999618	0.008736887000000934	231047168		0.008361358999999539	5.430800000067393e-05	ffc6438860bbd673000c7dcf249bf76e58dfd99ceabbaee93574bc3f2e948ddb
threaded-reactor-same-instance	multi-subject	2	0.15037089500000003	0.10163799000000018	0.1779966860000004	231047168	0.06952195300000039	0.1473936479999993	0.002300911999999698	ffc6438860bbd673000c7dcf249bf76e58dfd99ceabbaee93574bc3f2e948ddb
threaded-reactor-same-instance	multi-subject	4	0.27355191600000034	0.2305074939999995	0.3948916740000004	231047168	0.06952589800000078	0.26952529999999936	0.0041749729999992265	ffc6438860bbd673000c7dcf249bf76e58dfd99ceabbaee93574bc3f2e948ddb
threaded-reactor-same-instance	old-threshold	1	0.0028500549999989746	0.0024678129999992963	0.0036058210000010148	231047168		0.0027894440000000033	3.901099999984581e-05	d2bca2e802c8f7fb0a9ecf5ae5f8c4848674d306cde18f63669a911e7d8e741e
threaded-reactor-same-instance	old-threshold	2	0.15981375200000003	0.11773030199999994	0.17740512099999978	231047168	0.07451533950000021	0.15760069000000113	0.002184121999999661	d2bca2e802c8f7fb0a9ecf5ae5f8c4848674d306cde18f63669a911e7d8e741e
threaded-reactor-same-instance	old-threshold	4	0.3145287950000002	0.22659323399999995	0.34249021399999946	231047168	0.0665498805000002	0.31064089799999967	0.0035785820000000966	d2bca2e802c8f7fb0a9ecf5ae5f8c4848674d306cde18f63669a911e7d8e741e
threaded-reactor-same-instance	small	1	0.0034780809999992927	0.003264368999999533	0.005802349000001414	231047168		0.0034226870000002236	5.1043999999819786e-05	118fa3a3433f9f5c26a066066c81e0ddd79dc8c584b86605fd6b999ed3346663
threaded-reactor-same-instance	small	2	0.13495806599999924	0.08943505399999958	0.18499701699999968	231047168	0.06464984000000004	0.1328881130000009	0.002065108999999211	118fa3a3433f9f5c26a066066c81e0ddd79dc8c584b86605fd6b999ed3346663
threaded-reactor-same-instance	small	4	0.27389967500000056	0.1999411829999999	0.28745475199999965	231047168	0.06536267999999927	0.2699770630000003	0.0038377160000000006	118fa3a3433f9f5c26a066066c81e0ddd79dc8c584b86605fd6b999ed3346663
