case_id	version	kind	threads	boundary	median_seconds	min_seconds	max_seconds	peak_rss_bytes	raw_output_sha256
old-threshold	baseline	native	2	cold-process	0.0037377980042947456	0.003625892990385182	0.0041849049885058776	6344704	d2bca2e802c8f7fb0a9ecf5ae5f8c4848674d306cde18f63669a911e7d8e741e
old-threshold	baseline	native	4	cold-process	0.003960828995332122	0.00372841399803292	0.004395293988636695	6414336	d2bca2e802c8f7fb0a9ecf5ae5f8c4848674d306cde18f63669a911e7d8e741e
old-threshold	baseline	serial	1	cold-process	0.07238227900234051	0.06967735099897254	0.07996074100083206	78753792	d2bca2e802c8f7fb0a9ecf5ae5f8c4848674d306cde18f63669a911e7d8e741e
old-threshold	baseline	threaded	1	cold-process	0.11860546199022792	0.11567125101282727	0.14774616800423246	97452032	d2bca2e802c8f7fb0a9ecf5ae5f8c4848674d306cde18f63669a911e7d8e741e
old-threshold	baseline	threaded	2	cold-process	0.14986256399424747	0.14058876399940345	0.16114729600667488	118759424	d2bca2e802c8f7fb0a9ecf5ae5f8c4848674d306cde18f63669a911e7d8e741e
old-threshold	baseline	threaded	4	cold-process	0.1181598999974085	0.11521629799972288	0.12680398800875992	98566144	d2bca2e802c8f7fb0a9ecf5ae5f8c4848674d306cde18f63669a911e7d8e741e
long-single	candidate	native	1	cold-process	0.01373124799283687	0.012860335991717875	0.015825893002329394	17063936	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	candidate	native	2	cold-process	0.013169056997867301	0.012779269003658555	0.013575824996223673	17051648	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	candidate	native	4	cold-process	0.012960594001924619	0.012379892999888398	0.014698104001581669	18759680	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	candidate	serial	1	cold-process	0.12744535999081563	0.1184219499991741	0.1473722280061338	97193984	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	candidate	threaded	1	cold-process	0.20462856999074575	0.17870083199522924	0.21123563800938427	121139200	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	candidate	threaded	2	cold-process	0.3609086299984483	0.2932376020035008	0.6100338709948119	156172288	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	candidate	threaded	4	cold-process	0.527340512999217	0.39112427399959415	0.5967113150109071	182444032	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	baseline	native	1	cold-process	0.013273183998535387	0.012254383007530123	0.014864894998027012	17031168	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	baseline	native	2	cold-process	0.012937507999595255	0.012712868992821313	0.015944626997224987	17707008	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	baseline	native	4	cold-process	0.014016130997333676	0.012987527006771415	0.016442743988591246	17960960	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	baseline	serial	1	cold-process	0.09508109799935482	0.09088548198633362	0.10538867198920343	96186368	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	baseline	threaded	1	cold-process	0.1403041209996445	0.13290483399759978	0.16139946700423025	111935488	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	baseline	threaded	2	cold-process	0.16778291200171225	0.16154935098893475	0.19313465400773566	127520768	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
long-single	baseline	threaded	4	cold-process	0.22386538700084202	0.21276469799340703	0.24826105599640869	163028992	3c4d8ca8adb95dedf40ebe906fd4d21f56ffbcbf8931db7b5166d764f33df03d
dense-biased	candidate	native	1	cold-process	0.009654096997110173	0.00935914000729099	0.010095028002979234	6443008	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	candidate	native	2	cold-process	0.007536877004895359	0.0074351450020913035	0.01155831100186333	6197248	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	candidate	native	4	cold-process	0.006838452012743801	0.0061588909884449095	0.007571189998998307	8220672	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	candidate	serial	1	cold-process	0.1341883209970547	0.1136476100073196	0.14892476800014265	98344960	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	candidate	threaded	1	cold-process	0.19454704599047545	0.1758870189951267	0.2026405960059492	113000448	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	candidate	threaded	2	cold-process	0.3274067899910733	0.3066381249955157	0.5087897810008144	154812416	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	candidate	threaded	4	cold-process	0.4716052229923662	0.4414733570010867	0.6275300440029241	180965376	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	baseline	native	1	cold-process	0.009712451006635092	0.008682323998073116	0.009953713000868447	6504448	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	baseline	native	2	cold-process	0.007894561000284739	0.0070360280078602955	0.008356667996849865	6447104	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	baseline	native	4	cold-process	0.0067803949932567775	0.0057944699947256595	0.007255204007378779	6483968	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	baseline	serial	1	cold-process	0.08716266200644895	0.08083499399072025	0.09404178099066485	92520448	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	baseline	threaded	1	cold-process	0.13240635900001507	0.12514868199650664	0.15117460500914603	105889792	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	baseline	threaded	2	cold-process	0.13013764000788797	0.12323264800943434	0.14875904899963643	107909120	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
dense-biased	baseline	threaded	4	cold-process	0.1314774570055306	0.12571042600029614	0.14165220501308795	106598400	0b4b1ddfab92ec836d21d1340048fa1953e6e03e102bce74c4f8515929ef3a22
