q1	six_frames	654	256	3.92e-84	120	120	120	0	0	0	1	120	4813	4454	-2
q1	six_frames	643	252	1.31e-82	120	120	120	0	0	0	1	120	3851	3492	-1
q1	six_frames	642	251	1.63e-82	120	120	120	0	0	0	1	120	1565	1924	2
q1	six_frames	640	251	2.73e-82	120	120	120	0	0	0	1	120	5775	5416	-3
q1	six_frames	640	251	2.73e-82	120	120	120	0	0	0	1	120	2529	2888	3
q1	six_frames	640	251	2.83e-82	120	120	120	0	0	0	1	120	601	960	1
q1	six_frames	35	18.1	0.77	5	8	13	8	0	0	18	30	3514	3476	-2
q1	six_frames	24	13.9	16	10	19	43	30	3	1	79	118	6228	6100	-3
q1	six_frames	23	13.5	20	3	6	7	4	0	0	13	19	2085	2065	-3
q1	six_frames	21	12.7	36	4	5	13	9	0	0	34	46	3491	3453	-1
q1	six_frames	20	12.3	56	5	10	19	14	0	0	18	36	5110	5166	1
q1	six_frames	19	11.9	77	5	6	15	10	0	0	32	46	3453	3497	3
q1	six_frames	16	10.8	171	3	4	8	5	0	0	56	63	3172	3149	-2
q1	six_frames	15	10.4	203	1	4	6	5	0	0	43	48	4929	4946	3
q1	six_frames	14	10.0	289	2	2	3	1	0	0	51	53	3036	3044	3
q1	six_frames	14	10.0	305	2	3	3	1	0	0	101	103	3367	3359	-2
q1	six_frames	13	 9.6	331	2	2	2	0	0	0	65	66	6029	6024	-1
