q1	weak_17	96	17	18	19	2	0	0	41	59	121	177	1
q1	weak_18	95	18	18	18	0	0	0	41	58	121	174	1
q1	weak_15	95	17	19	20	3	0	0	38	57	112	171	1
q1	weak_16	91	21	23	41	15	5	1	41	76	121	243	1
q1	weak_13	85	15	17	22	7	0	0	33	54	97	162	1
q1	weak_14	84	22	34	74	48	4	2	41	110	121	342	1
q1	weak_12	69	13	13	19	6	0	0	34	52	100	156	1
q1	weak_12	40	5	14	25	20	0	0	51	75	354	280	-1
q1	weak_11	66	11	11	11	0	0	0	41	51	121	153	1
q1	weak_9	59	14	14	21	3	4	1	40	60	118	168	1
q1	weak_8	59	12	16	27	14	1	1	22	48	67	144	1
q1	weak_10	57	13	14	22	7	2	1	29	50	91	150	1
q1	weak_7	40	18	20	54	31	5	2	41	91	121	276	1
q1	background_77	36	6	11	18	12	0	0	26	43	93	40	-1
q1	background_17	35	15	18	43	21	7	3	56	93	157	279	1
q1	background_71	32	4	6	7	3	0	0	29	35	229	249	1
q1	background_67	32	9	12	31	14	8	1	50	80	70	138	1
q1	background_21	32	9	11	29	20	0	0	25	53	195	109	-1
q1	background_7	32	4	7	11	7	0	0	24	34	182	150	-2
