D_ERFC	-6.7093487258748388	2
D_ERFC	-5.1260365386447857	1.999999999999581
D_ERFC	-6.0324827658339908	2
D_ERFC	-4.4491705786039386	1.9999999996867548
D_ERFC	-6.4085194103011291	2
D_ERFC	-4.8252072230710761	1.9999999999911382
D_ERFC	-6.2581047525142735	2
D_ERFC	-4.6747925652842213	1.9999999999618667
D_ERFC	-6.1828974236208474	2
D_ERFC	-4.5995852363907934	1.9999999999222011
D_ERFC	-6.1076900947274195	2
D_ERFC	-4.5243779074973656	1.999999999843024
D_ERFC	4.5569243929190613	1.1600945213183747e-10
D_ERFC	4.7289165149271364	2.267085689255873e-11
D_ERFC	-6.7093487258748388	2
D_ERFC	-5.1260365386447857	1.999999999999581
D_ERFC	-6.0324827658339908	2
D_ERFC	-4.4491705786039386	1.9999999996867548
D_ERFC	-6.4085194103011291	2
D_ERFC	-4.8252072230710761	1.9999999999911382
D_ERFC	-6.2581047525142735	2
D_ERFC	-4.6747925652842213	1.9999999999618667
D_ERFC	-6.1828974236208474	2
D_ERFC	-4.5995852363907934	1.9999999999222011
D_ERFC	-6.1076900947274195	2
D_ERFC	-4.5243779074973656	1.999999999843024
D_ERFC	4.5569243929190613	1.1600945213183747e-10
D_ERFC	4.7289165149271364	2.267085689255873e-11
